year,article_id,figure_name,figure_caption,figure_img
2010,5169847,Fig. 1.,Block diagram of the RF device.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-1-source-large.gif
2010,5169847,Fig. 2.,Percentile variability explained by each principal component.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-2-source-large.gif
2010,5169847,Fig. 3.,Projection of devices onto the top three principal components.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-3-source-large.gif
2010,5169847,Fig. 4.,Zoom in the core of functional devices in the 3-D plot of Fig. 3.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-4-source-large.gif
2010,5169847,Fig. 5.,"Test error (i.e., average number of misclassified devices in the validation set) versus normalized test cost [defined in (4)] when using only non-RF specification tests.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-5-source-large.gif
2010,5169847,Fig. 6.,"Test error (i.e., average number of misclassified devices in the validation set) versus normalized test cost [defined in (4)] when adding RF specifciation tests to the best selected subsets (in terms of test error) of Fig. 5.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/92/5471724/5169847/5169847-fig-6-source-large.gif
2010,5491191,Fig. 1.,Chaos-based CDMA model with a multiuser detector.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-1-source-large.gif
2010,5491191,Fig. 2.,Chaotic series generated from cubic mapping. (a) Two series of close initial conditions. (b) Autocorrelation of the first 50 chips.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-2-source-large.gif
2010,5491191,Fig. 3.,"BER comparisons of the chaos-based CDMA with SVM detector and Gold-DS-CDMA, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-3-source-large.gif
2010,5491191,Fig. 4.,"Comparing the recent result with the proposed method, AWGN channel, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-4-source-large.gif
2010,5491191,Fig. 5.,"Number of support vectors from the SVM model for different
C
parameters, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-5-source-large.gif
2010,5491191,Fig. 6.,"Error rate of the SVM model with linear kernel for different
C
parameters,
E
b
/
N
o
=2dB
, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-6-source-large.gif
2010,5491191,Fig. 7.,"Error rate of the SVM model with linear kernel for different training sizes, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-7-source-large.gif
2010,5491191,Fig. 8.,"Number of support vectors from the SVM model for different training sizes, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-8-source-large.gif
2010,5491191,Fig. 9.,"BER of the MUDs under AWGN, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-9-source-large.gif
2010,5491191,Fig. 10.,"BER of the MUDs under Rayleigh fading, ten users,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-10-source-large.gif
2010,5491191,Fig. 11.,"BER of the SVM detector for different users,
E
b
/
N
o
=8dB
,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-11-source-large.gif
2010,5491191,Fig. 12.,"3-D BER of the MUDs under AWGN,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-12-source-large.gif
2010,5491191,Fig. 13.,"3-D BER of the MUDs under Rayleigh fading,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-13-source-large.gif
2010,5491191,Fig. 14.,Signal points and the decision boundaries from the numerical example.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-14-source-large.gif
2010,5491191,Fig. 15.,"Complexity of the detectors,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-15-source-large.gif
2010,5491191,Fig. 16.,"Output of noiseless test samples from the matched filter, 30 users.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-16-source-large.gif
2010,5491191,Fig. 17.,"Output of noiseless test samples from the SVM detector, 30 users.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-17-source-large.gif
